CONTAS;;;;;;;;;(-) Pessoal
60301020101adm;60301020103adm;60301020129adm;60301020130adm;60301020131adm;60301020132adm;60301020134adm;;;SALARIOS
60301020102adm;;;;;;;;;HORAS EXTRAS
60301020105adm;60301020107adm;60301020120adm;60301020121adm;60301020124adm;60301020125adm;60301020126adm;60301020127adm;;FERIAS E 13 SALARIO
60301020110adm;60301020112adm;60101020205adm;;;;;;;INSS - FOLHA PAGTO
60301020111adm;;;;;;;;;FGTS
60301020128adm;60301020123adm;;;;;;;;INSS/EMPR TERCEIROS FOPAG
60301020109adm;;;;;;;;;ASSIST. MEDICA/ODONTOL./FARMACIA
60301020104adm;;;;;;;;;AVISO PREVIO
60301020117adm;;;;;;;;;ESTAGIOS TEMPORARIOS
60301020119adm;;;;;;;;;TREINAMENTO
60301020122adm;;;;;;;;;PRO-LABORE
60301020133adm;;;;;;;;;MEDICINA SEGURANCA NO TRABALHO
60301020115adm;;;;;;;;;VALE TRANSPORTE
60301020114adm;60301020116adm;;;;;;;;CESTA BASICA
60301020135adm;60301020113adm;;;;;;;;OUTROS CUSTOS C/ PESSOAL
60301020219adm;;;;;;;;;EQUIPAMENTOS DE PROTECAO
60301020258adm;;;;;;;;;UNIFORMES
60301020279adm;;;;;;;;;ASSESSORIA OPERACIONAL
60301020209adm;;;;;;;;;CARGA E DESCARGA/MOVIMENT
;;;;;;;;;(-) Fretes
60301020221Aadm;;;;;;;;;FRETES PESSOA JURIDICA
60301020288adm;;;;;;;;;FRETES AEREO
;;;;;;;;;FRETES REDESPACHO
;;;;;;;;;FRETES TRANSFERENCIA
60301020291adm;;;;;;;;;FRETES COLETA
60301020290adm;;;;;;;;;FRETES DISTRIBUICAO
;;;;;;;;;FRETES REPRESENTANTES AEREO
;;;;;;;;;FRETES REPRESENTANTES RODO
;;;;;;;;;(-) Frota Própria
60301020210adm;;;;;;;;;COMBUSTIVEIS
60301020238adm;;;;;;;;;PEDAGIOS
60301020255adm;;;;;;;;;VIAGENS/TRANSP - 255P
60301020269adm;;;;;;;;;ESTADIA - TRANSP -269F
60301020271adm;;;;;;;;;TRANS PREMIOS - 271
60301020270adm;;;;;;;;;DESCARGAS
60301020243adm;;;;;;;;;REPAROS/CONSERV. DE VEICULOS
60301020236adm;;;;;;;;;PECAS P/VEICULOS E EQUIP.
60301020212adm;;;;;;;;;CONSERTO DE PNEUS E CAMARAS
60301020241adm;;;;;;;;;RECAPAGEM
60301020237adm;;;;;;;;;ACESSORIOS P/VEICULOS E EQUIP.
60301020216adm;;;;;;;;;CONSERV/MANUTEN. TACOGRAFOS
60301020239adm;;;;;;;;;PNEUS E CAMARAS
60301020292adm;;;;;;;;;LAVAGEM DE VEICULOS
60301020229adm;;;;;;;;;LUBRIFICANTES
60301020204adm;;;;;;;;;ALUGUEIS DE VEICULOS
60301020227adm;60301020305adm;;;;;;;;IPVA/LICENCIAMENTO
60301040105adm;;;;;;;;;MULTAS E INFRACOES TRANSITO
;;;;;;;;;(-) Gestão de Riscos
60301020248adm;;;;;;;;;SEGURO DE CARGAS  - RCTR-C
60301020249adm;;;;;;;;;SEGURO DE CARGAS - RCF-DC
60301020294adm;;;;;;;;;SEGURO RCTA
60301020264adm;;;;;;;;;SERV. MONIT. AUTOTRAC
60301020244adm;;;;;;;;;SEGURANCA/ESCOLTA
60301020247adm;;;;;;;;;SEGURO - PREMIOS
60301020262adm;;;;;;;;;GERENCIAMENTO DE RISCO
;;;;;;;;;(-) Custos com Armazenagem
60301020203adm;;;;;;;;;ALUGUEIS DE IMOVEIS
60301020213adm;60301020214adm;60301020215adm;60301020287adm;60301020304adm;;;;;CONSERVACAO DE PREDIOS
60301020230adm;;;;;;;;;ENERGIA ELETRICA
60301020210Aadm;60301020272adm;;;;;;;;COMBUSTIVEIS GERADOR
60301020256adm;;;;;;;;;LIMPEZA
60301020233adm;;;;;;;;;MATERIAL E HIGIENE/LIMPEZA
60301020202adm;;;;;;;;;AGUA
60301020201adm;;;;;;;;;ALUGUEIS DE EQUIPAMENTOS
60301020250adm;;;;;;;;;SEGURO DE PREDIOS
60301020245adm;;;;;;;;;SEGURANCA PREDIAL
60301040104adm;;;;;;;;;IPTU
;;;;;;;;;(-) Serviços de Terceiros
60301020275adm;;;;;;;;;ASSESSORIA JURIDICA
60301020284adm;;;;;;;;;ASSESSORIA RH
60301020276adm;;;;;;;;;CERTIFICACAO/QUALIDADE
60301020281adm;;;;;;;;;PUBLICIDADE E PROPAGANDA
60301020283adm;;;;;;;;;AUDITORIA/CONSULTORIA
60301020282adm;;;;;;;;;ASSESSORIA CONTABIL
60301020280adm;;;;;;;;;ASSESSORIA ADMINISTRATIVA
60301020278adm;;;;;;;;;ASSESSORIA GUARDA DE DOCUMENTOS
60301020223adm;;;;;;;;;HONORARIOS PROF. PJ
60301020224adm;;;;;;;;;HONORARIOS PROF. PF
;;;;;;;;;(-) Informática
60301020277adm;;;;;;;;;ASSESSORIA E SERVICO INFORMATICA
60301020260adm;;;;;;;;;MANUT. EQUP. INFORMATICA
60301020231adm;;;;;;;;;MANUTEN. SISTEMAS  INFORMATICA
60301020234adm;;;;;;;;;MATERIAL PROCES. DADOS
60301020252adm;;;;;;;;;TELEFONES
60301020251adm;;;;;;;;;INTERNET/COMUNICACOES
60301040103adm;;;;;;;;;(-) Impostos e Taxas
60301040101adm;;;;;;;;;IMPOSTOS/ TAXAS ESTADUAIS
60301040102adm;;;;;;;;;IMPOSTOS/TAXAS FEDERAIS
60301040103adm;;;;;;;;;IMPOSTOS/TAXAS MUNICIPAIS
60301040106adm;;;;;;;;;MULTAS DIVERSAS
60301020257adm;60301020285adm;;;;;;;;TAXAS/CUSTAS/CARTORIO
;;;;;;;;;(-) Outros Custos / Receitas
60301020259adm;;;;;;;;;DESPESAS DIVERSAS
60301020207adm;60301020118adm;;;;;;;;ASSOS. SINDICATOS DE CLASSE
60301020211adm;;;;;;;;;CONDUCAO E TRANSPORTE
60301020254adm;;;;;;;;;VIAGENS
60301020220adm;;;;;;;;;ESTACIONAMENTOS
60301020268adm;;;;;;;;;BRINDES E DOACOES/INDEDUTIVEL
60301020205adm;;;;;;;;;ANUNCIOS E PUBLICACOES LEGAIS
60301020242adm;;;;;;;;;COPA E REFEICOES/ESTADIAS
60301020286adm;;;;;;;;;GAS GLP - REFEITORIO
60301020296adm;;;;;;;;;FEIRAS EVENTOS E CONFRATERNIZACOES
60301020235adm;;;;;;;;;MATERIAL DE EXPEDIENTE
60301020240adm;;;;;;;;;PORTES/SELOS E TELEGRAMAS CORREIOS
60301020267adm;60301020208adm;;;;;;;;BENS DE PEQUENO VALOR
60301020228adm;;;;;;;;;ASSINAT. JORNAIS E REVISTAS
60301020217adm;;;;;;;;;COPIAS E ENCADERNACOES
60301020225adm;;;;;;;;;IMPRESSOS GRAFICOS/LOGOTIPOS
60601010102adm;;;;;;;;;OUTRAS RECEITAS
;;;;;;;;;
