INTERGROUP,Anomes,Modal,Empresa,TotVlrFreBru,NFserv.Valor,Servicos.Valor,Armazenagem.Valor,ND.Frete_Bruto,NDC.Valor,ValorFinanceiro
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 483.067,36",0,0,0,"483067,36"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 24.681,87",0,0,0,"24681,87"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 1.031.299,35",0,0,0,"1031299,35"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 91.678,94",0,0,0,"91678,94"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 387.431,33",0,0,0,"387431,33"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 12.390,99",0,0,0,"12390,99"
N,2025-fev,RODOVIARIO,FARMA,"135959,72",0,0,0,0,0,"135959,72"
N,2025-jan,RODOVIARIO,INTEC,"514394,78",0,0,0,0,0,"514394,78"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 449.732,58",0,0,0,"449732,58"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 118.812,18",0,0,0,"118812,18"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 46.594,40",0,0,0,"46594,4"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 10.877,17",0,0,0,"10877,17"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 684.351,59",0,0,0,"684351,59"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 4.936,04",0,0,0,"4936,04"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 27.573,24",0,0,0,"27573,24"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 133.766,22",0,0,0,"133766,22"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 14.883,97",0,0,0,"14883,97"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 35,15",0,0,0,"35,15"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 33.515,98",0,0,0,"33515,98"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 6.826,54",0,0,0,"6826,54"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 39.168,27",0,0,0,"39168,27"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 254.803,73",0,0,0,"254803,73"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 252.239,55",0,0,0,"252239,55"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 248.763,97",0,0,0,"248763,97"
N,2025-fev,RODOVIARIO,FARMA,"847262,81",0,0,0,0,0,"847262,81"
