CONTAS;;;;;;;;;(-) Pessoal
60301020101Oper;60301020103Oper;60301020129Oper;60301020130Oper;60301020131Oper;60301020132Oper;60301020134Oper;;;SALARIOS
60301020102oper;;;;;;;;;HORAS EXTRAS
60301020105oper;60301020107oper;60301020120oper;60301020121oper;60301020124oper;60301020125oper;60301020126oper;60301020127oper;;FERIAS E 13 SALARIO
60301020110oper;60301020112oper;60101020205oper;;;;;;;INSS - FOLHA PAGTO
60301020111oper;;;;;;;;;FGTS
60301020128oper;60301020123oper;;;;;;;;INSS/EMPR TERCEIROS FOPAG
60301020109oper;;;;;;;;;ASSIST. MEDICA/ODONTOL./FARMACIA
60301020104oper;;;;;;;;;AVISO PREVIO
60301020117oper;;;;;;;;;ESTAGIOS TEMPORARIOS
60301020119oper;;;;;;;;;TREINAMENTO
60301020122oper;;;;;;;;;PRO-LABORE
60301020133oper;;;;;;;;;MEDICINA SEGURANCA NO TRABALHO
60301020115oper;;;;;;;;;VALE TRANSPORTE
60301020114oper;60301020116oper;;;;;;;;CESTA BASICA
60301020135oper;60301020113oper;;;;;;;;OUTROS CUSTOS C/ PESSOAL
60301020219oper;;;;;;;;;EQUIPAMENTOS DE PROTECAO
60301020258oper;;;;;;;;;UNIFORMES
60301020279oper;;;;;;;;;ASSESSORIA OPERACIONAL
60301020209oper;;;;;;;;;CARGA E DESCARGA/MOVIMENT
;;;;;;;;;(-) Fretes
60301020221oper;60301020221Aoper;;;;;;;;FRETES PESSOA JURIDICA
60301020288oper;;;;;;;;;FRETES AEREO
;;;;;;;;;FRETES REDESPACHO
;;;;;;;;;FRETES TRANSFERENCIA
60301020291oper;;;;;;;;;FRETES COLETA
60301020290oper;60301020290Aoper;;;;;;;;FRETES DISTRIBUICAO
;;;;;;;;;FRETES REPRESENTANTES AEREO
;;;;;;;;;FRETES REPRESENTANTES RODO
60301020290Boper;60301020288coper;;;;;;;;INTERGRUPO
;;;;;;;;;(-) Frota Própria
60301020210oper;;;;;;;;;COMBUSTIVEIS
60301020238oper;;;;;;;;;PEDAGIOS
60301020255oper;;;;;;;;;VIAGENS/TRANSP - 255P
60301020269oper;;;;;;;;;ESTADIA - TRANSP -269F
60301020271oper;;;;;;;;;TRANS PREMIOS - 271
60301020270oper;;;;;;;;;DESCARGAS
60301020243oper;;;;;;;;;REPAROS/CONSERV. DE VEICULOS
60301020236oper;;;;;;;;;PECAS P/VEICULOS E EQUIP.
60301020212oper;;;;;;;;;CONSERTO DE PNEUS E CAMARAS
60301020241oper;;;;;;;;;RECAPAGEM
60301020237oper;;;;;;;;;ACESSORIOS P/VEICULOS E EQUIP.
60301020216oper;;;;;;;;;CONSERV/MANUTEN. TACOGRAFOS
60301020239oper;;;;;;;;;PNEUS E CAMARAS
60301020292oper;;;;;;;;;LAVAGEM DE VEICULOS
60301020229oper;;;;;;;;;LUBRIFICANTES
60301020204oper;;;;;;;;;ALUGUEIS DE VEICULOS
60301020227oper;60301020305oper;;;;;;;;IPVA/LICENCIAMENTO
60301040105oper;;;;;;;;;MULTAS E INFRACOES TRANSITO
;;;;;;;;;(-) Gestão de Riscos
60301020248oper;;;;;;;;;SEGURO DE CARGAS  - RCTR-C
60301020249oper;;;;;;;;;SEGURO DE CARGAS - RCF-DC
60301020294oper;;;;;;;;;SEGURO RCTA
60301020264oper;;;;;;;;;SERV. MONIT. AUTOTRAC
60301020244oper;;;;;;;;;SEGURANCA/ESCOLTA
60301020247oper;;;;;;;;;SEGURO - PREMIOS
60301020262oper;;;;;;;;;GERENCIAMENTO DE RISCO
60301020283A;;;;;;;;;(-) Terceiros Polo SC
60301020232;;;;;;;;;(-) Mat. Embalagem
60301020226oper;60301020226Aoper;;;;;;;;(-) Indenizações de Mercadorias
;;;;;;;;;(-) Custos com Armazenagem
60301020203oper;;;;;;;;;ALUGUEIS DE IMOVEIS
60301020213oper;60301020214oper;60301020215oper;60301020287oper;60301020304oper;;;;;CONSERVACAO DE PREDIOS
60301020230oper;;;;;;;;;ENERGIA ELETRICA
60301020210Aoper;60301020272oper;;;;;;;;COMBUSTIVEIS GERADOR
60301020256oper;;;;;;;;;LIMPEZA
60301020233oper;;;;;;;;;MATERIAL E HIGIENE/LIMPEZA
60301020202oper;;;;;;;;;AGUA
60301020201oper;;;;;;;;;ALUGUEIS DE EQUIPAMENTOS
60301020250oper;;;;;;;;;SEGURO DE PREDIOS
60301020245oper;;;;;;;;;SEGURANCA PREDIAL
60301040104oper;;;;;;;;;IPTU
;;;;;;;;;(-) Serviços de Terceiros
